content,Quality,Service,Shipping,Packing
đặt sản phẩm xl nhưng giao sản phẩm mình không luôn. và khác nàu nữa,1,1,1,1
sản phẩm lỗi sản phẩm không đúng yêu cầu,1,1,1,1
toàn là áo mình không luôn. đặt màu này giao màu khác,0,0,0,0
áo xấu. giao màu cũng không giống,1,1,1,1
tôi mua áo thun nam sao giao áo nữ,1,1,1,1
zise không đúng không đúng màu,0,0,0,0
"đường chỉ may chưa được tốt,vắt sổ nhưng lỗi.",1,1,1,1
đường may chưa chắc chắn nên đạp lại,1,1,1,1
áo quá xấu so với số tiền bỏ ra,1,1,1,1
nên đặt lớn hơn 1 size bình thường,0,0,0,0
kém cho lắm chất lượng kém,1,1,1,1
mua 1 màu nhưng giao 5 màu.xàm,0,0,0,0
đặt màu trắng giao màu xám,1,1,1,1
"áo trắng tạm ổn tốt được, áo màu xám chất liệu rất tệ mặc vào như đeo mo lang.",1,1,1,1
size nhỏ hơn thông thường rất nhiều,0,0,0,0
"áo mặc nóng, không mát như quảng cáo",0,0,0,0
"1 cái đúng size, 1 cái size nhỏ hơn. không bik khâu đóng gói vô ý hay cố ý làm như thế",0,0,0,0
chất lượng sản phẩm bình thường,0,0,0,0
hai áo cùng size l nhưng mang lên ngừoi lại khác nhau. chất lượng tạm ổn tốt tốt so với giá thành. đóng gói tốt.,0,0,0,0
"chất lượng vải tốt. hơi bị ngắn, nên chọn cỡ cao hơn khuyến cáo",0,0,0,0
"áo zise quá nhỏ so với bình thường , chất áo cũng bình thường ,",0,0,0,0
"quá chật mặc không được, thông số size không đúng",1,1,1,1
áo ngắn so với size. mình mua size l nhưng mặc trật cả rốn ra,0,0,0,0
gửi size đâu có vừa đâu . thất vọng,1,1,1,1
không hài lòng. rất tệ. aaa,0,0,0,0
tốt áo tốt nhưng size không chuẩn,1,1,1,1
"form hơi chật, kg như mong muốn.",0,0,0,0
- đóng gói sơ sài; - giao sản phẩm không đúng mẫu. - chất lượng chưa dùng nên không thể biết ntn.,1,1,1,1
"chất liệu vải mỏng, co giãn tốt, đường may tốt",0,0,0,0
"chất liệu sản phẩm không được như trong hình ,dáng áo cũng hk đẹp",1,1,1,1
mặc không vừa. áo rất chậc. mình 1m74 74kg. không sử dụng được. tôi muốn trả lại sản phẩm. nhãn mác nhưng nguyên,0,0,0,0
sau khi nhận sản phẩm thì đã không nhưng mặc vừa nữa,0,0,0,0
size xl nhỏ như áo nữ. vải giá giá rẻ tiền. không đáng giá,1,1,1,1
"mình đặt sản phẩm từ 17/9 và mãi tới 10/11 mới nhận được sản phẩm, tiền giao sản phẩm là 44k cũng không hề giá giá rẻ. chất lượng quần thì cug gọi là tạm ổn tốt tốt so với tầm giá, cảm thấy mẫu màu xanh chất lượng vải tốt nhất. nhưng chiếc sọc màu hồng kia thì thấy lòe loẹt quá",0,0,0,0
"sản phẩm đẹp, chất vải mềm, đúng như mô tả. tuy nhiên tôi không đồng ý ở chỗ mác giá sản phẩm là 25k/1 quần, và tôi cũng đã xem trên trang web của công ty may 10 cũng với giá cũng là 125k/5 quần, vậy giảm giá 62 đưa ra là ở đâu? tôi nghĩ, tiki nên xem xét lại giá của các mặt sản phẩm, nhiều nhà bán đã nâng khống giá lên, sau đó lại giảm để người mua rằng mình đã mua giá giá rẻ.",1,1,1,1
sản phẩm mua không đúng hình. chất liệu vải cũng không đồng nhất giữa các quần. 1 chiêc màu nâu bị ra màu rất ghê làm nhem hết lên những chiếc màu sáng mới ngâm nước đã đen,1,1,1,1
"size l nhưng không vừa không hiểu may 10 xác định size thế nào, không cho đổi sản phẩm vì đã thanh toán.rất kém.",1,1,1,1
tiền nào của nấy vậy nhưng cha nội nào bình luận tốt mới ghê bó tay,1,1,1,1
"tôi rất không hài lòng về chính sách đổi trả của cửa sản phẩm. ngay sau khi nhận sản phẩm, tôi đã yêu cầu được đổi size, chấp nhận thanh toán phí đổi nhưng đến nay đã hơn 1 tháng, tôi vẫn chưa đổi được sản phẩm.",1,1,1,1
tệ kém đóng gói sơ sài sản phẩm hóa bất tốt,0,0,0,0
sản phẩm không đúng chất liệu như mô tả. sản phẩm báo là chất liệu cotton nhưng nhận sản phẩm chất liệu toàn nylon. sản phẩm bảo của may 10 nhưng mác trên quần ghi theo thiết kế may 10. có thể trả lại sản phẩm không cửa sản phẩm?,1,1,1,1
"thất vọng. mình thấy gới thiệu sản phẩm là: ""' quần may 10 , túi được may bằng vải quần , không phải vải lót mỏng như các sản phẩm khác."""" nhưng thực tế thì chẳng có cái túi quần nào hết, rỗ rang là giới thiệu một kiểu thự tees lại là kiểu khác. hơn nữa giá sản phẩm thưc tế là 25k chứ đâu phải giảm 62 chỉ nhưng 25k. chẳng biết như vậy có phải là người mua không. thất vong.",1,1,1,1
vải thô cứng nóng không phải coton như cửa sản phẩm nói,1,1,1,1
trong 5 cái thì 1 cái bị lỗi như hình. 10 cái nhưng lại đã đưa bố và em nên không biết bị lỗi ko. trừ cửa sản phẩm 2 sao vì sản phẩm có thương hiệu nhưng giao sản phẩm lỗi cho khách không thèm kiểm tra.,0,0,0,0
"tiki cùi bắp 3 đơn sản phẩm đặt 1 tháng không nhúc nhích hủy được 2 đơn qua shoppee zalada đăt chưa 1 tuân là có rồi, đơn này lỡ thanh toán app mới không hủy được, h thì xoá app luôn bye tiki",1,1,1,1
"sản phẩm đẹp. nhưng giá trên sản phẩm là 25k/chiếc, 5 chiếc giá 125k, nhưng tiki bán 5 chiếc 160k đau lòng thật. giả biệt tiki mãi mãi nhé.",1,1,1,1
"chất lượng vải mỏng nhìn thấu, và rất nhàu. chất lượng chất lượng kém như giới triệu.",1,1,1,1
"chất lượng sản phẩm quá tệ, không giống miêu tả. chất liệu toàn nylon, không phải sản phẩm may10. có hơn 100k, không đáng bao nhiêu nên không buồn đổi trả sản phẩm. tiki nên xem lại nhà cung cấp, bán chất lượng kém chất lượng",1,1,1,1
"sản phẩm mỏng, mát, giao đúng size. giao sản phẩm q.1 nhưng siêu lâu, mất 2 tháng. giá trên sản phẩm ghi 25k nhưng nâng khống rồi ghi giảm 66 , đúng là gian thương. hy vọng đây không phải là chính sách của m10.",1,1,1,1
"sản phẩm bình thường, không phàn nàn gì.",0,0,0,0
gian lan . toi mua siz xxl khi giao siz s ma bao thi ghi siz mình .kg vo hang thi dung ban .quen thoi luu manh . tin tuong hang viet nam ma lsm mat long tin qua .de nghi may 10 doi hang cho toi gap. len tivi keu lam an kho khan ma khi nguoi ta mua thi gian lan vay hoi ai dam mua nua chu?,1,1,1,1
"mình không có ý kiến về sản phẩm, tuy nhiên có dặn giao màu sáng chút nhưng giao sản phẩm màu tối thui, không ai phản hồi ?",1,1,1,1
chất kém như mong đợi như ni lông,0,0,0,0
"tôi đã nhận được sản phẩm rồi! thời gian giao sản phẩm tương đối nhanh, chất lượng sản phẩm chưa đúng như quảng cáo là 100 bằng vải coton! đóng gói sản phẩm tương đối gọn gàng và chắc chắn!",0,0,0,0
"người bán không có tâm, mua 2 set để tránh các màu nữ tính, cho 2 set giống nhau, mỗi set có 3 màu hường. giá 25k/chiếc nên: vải hơi thô, không mát như của seller khác.",0,0,0,0
không tot nam sản phẩm xau nam không co akup,1,1,1,1
5 cái nhưng 4 cái nhìn được. 1 cái vải xấu quá. tuy nhiên đã biết trước là combo 5 cái không được lựa chọn nên vẫn cho 5 . giao sản phẩm quá lâu đặt 11/11 hẹn đến 19giao nhưng 24 mới giao trừ 2,0,0,0,0
"quần đùi rởm lắm , vải mỏng dính . chất liệu không phải coton . mình cứ tưởng sản phẩm cty may 10 thật nên mua . giờ không muốn dùng luôn",0,0,0,0
mặc không vừa. di chuyển không được. sản phẩm tệ.,1,1,1,1
"chất liệu vải kém, fom quần không thoải mái",0,0,0,0
không có túi quần nên hơi bất tiện chút! lỡ mua rồi thì mình chịu khó xài luôn chứ chồng con không ai dùng cho! tiền nào của đó nhưng!,0,0,0,0
"mua một chiếc áo đen, một chiếc áo trắng, áo đen thì nhìn chung được, chỉ có ở phần cổ đường chỉ may rất ẩu, nhưng chiếc áo trắng thì quá tệ, may ẩu và nhưng bẩn, vải nhưng bị giản như đồ cũ vậy, mua 2 cái đều size l nhưng mang ra đo thì cái áo trắng lại lớn hơn cái áo đen, không hiểu nổi. cửa sản phẩm bán đồ kém chất lượng!",1,1,1,1
"mua một chiếc áo trắng một chiếc áo đen, chiếc áo trắng bị dơ, gọi tiki đổi trả thì gần cả tháng kg đổi được nên đành dùng, nhưng chiếc áo đen sau khi đem đi giặt thì được thêm vài xô mực nữa, mỗi lần giặt là được vài xô mực, không biết lúc nào mới hết.",1,1,1,1
"giao áo lủng sao được cửa sản phẩm ơi, mua lần đầu 2 cái 2xl, được cái áo trắng ưng ý, áo đen nhỏ quá trả lại, đặt lại áo đen 3xl thì giao nhỏ như mình, tưởng cửa sản phẩm giao nhầm đặt lại đen 3xl lần nữa thì giao được size cỡ xl và bị lủng vầy, đành trả sản phẩm tiếp và tìm cửa sản phẩm khác thôi, mình không muốn đánh giá thấp vì cũng mua được cái áo len trắng tốt, cửa sản phẩm nên coi lại size trước khi gửi và kt sản phẩm kỹ, bịch ngoài để 3xl nhưng nhỏ cỡ xl, mình không à",0,0,0,0
"mình đặt màu ghi, nhưng giao cho mình màu kem, cần cửa sản phẩm hỗ trợ",1,1,1,1
"nhờ cửa sản phẩm tư vấn cho nam cao 1m75 nặng 60 kg mua ao sai nào cửa sản phẩm bảo sai l , mua về mặc khác gì áo đứa trẻ trật trội ngắn tới rốn , áo thì không biết mặc mặt nào là mặt trước mặt nào mặt sau , không có tem mác gì cả , quá thất vọng đề nghị cửa sản phẩm đổi lại cho cái dài rộng hơn cái chứ cái này khác gì áo trẻ con đâu bó tay",1,1,1,1
"mối may ngay nách kéo ngược về đằng sau ngay nách dư cả khúc , không mặc được",1,1,1,1
size nhỏ hơn quảng cáo của cửa sản phẩm,0,0,0,0
áo nhìn tạm ổn tốt tốt. nhưng giặt phai màu kinh khủng. đừng bạn nào giặt cùng quần áo màu trắng.,0,0,0,0
"đặt màu ghi lại giao sản phẩm cho màu đen, h muốn đổi sản phẩm tnao hả cửa sản phẩm ? mong sớm nhận được phản hồi !",1,1,1,1
áo rất chật dù đã đặt theo đúng tư vấn của cửa sản phẩm!,1,1,1,1
sản phẩm không giống như trong ảnh,1,1,1,1
"chất lượng kém, mặc một lần xổ lông hết!",1,1,1,1
áo bị lỗi chỉ may bị đứt.,0,0,0,0
"sản phẩm đúng như mô tả,giao sản phẩm nhanh, dịch",0,0,0,0
"hang bình thường,không được như quảng cáo",0,0,0,0
mới dùng 1 cái mang cũng tạm ổn tốt được,0,0,0,0
mình đặt size xl nhưng giao size s thì sao nhưng bận?,1,1,1,1
"cũng phải chờ tgian mặc thử mới biết được tốt hay không, giao sản phẩm đúng tgian.",0,0,0,0
giao sản phẩm quá lâu đặt sản phẩm nhưng 20 ngày mới được nhận,1,1,1,1
"cửa sản phẩm gói sản phẩm nguu như bò, mua tận lần thứ 4 nhưng vẫn gói nhầm màu, không nói trước là không bao giờ kiểm sản phẩm trước, quá tệ",1,1,1,1
sản phẩm chất lượng quá kém. mới mặc 1 lần nhưng đã rách 5 lỗ li ti rồi,1,1,1,1
"quần màu đen có ống quần không co giãn được mặc khá khó chịu, mới đầu tưởng nhầm size nhưng không phải, ns chung đây chắc là trường hợp hy hữu, mình có mua lần hai thì tốt hết. do lần này lỗi 1 cái nên mình cho 3.5 sao, làm tròn xuống 3 sao",0,0,0,0
"mình mua ba cái l nhưng 1 cái không giãn, 1 cái giãn vừa vừa, 1 cái thì giãn thoải mái. tóm lại là chất lượng không đồng đều. nhưng vẫn khá hài lòng nên lần sau vẫn ủng hộ. mong cửa sản phẩm cải thiện chất lượng lần tới.",0,0,0,0
"mình hiếm khi đánh giá 1 sao, nhưng thật sự y/c của mình với đồ lót khá khắt khe. vải nhuộm không biết có đúng tiêu chuẩn không nhưng thấy có nhiều bông xù ra bám vào người. hi vọng cửa sản phẩm cải tiến chất lượng",1,1,1,1
"sản phẩm không đúng với chất lượng đăng ,chất lượng đường may kém",1,1,1,1
mua tới 2xl rồi nhưng vẫn chật không size quần lót kiểu gì. cao 1.68 nặng 77kg,1,1,1,1
"sản phẩm quá chật so với kích cỡ tiêu chuẩn, bên tiki và cửa sản phẩm đều không hỗ trợ đổi trả sản phẩm. khách sản phẩm bỏ hơn 200 để mua một mớ đồ không dùng được. cần sự phản hồi và phương án của tiki",1,1,1,1
"tạm ổn tốt tốt, mặc thoải mái, đo size theo hướng dẫn đúng",0,0,0,0
"nhiều sợi nhỏ li ti, giá cao so với chất vải. cùng giá thì sẽ chọn được chất lượng tốt hơn.",0,0,0,0
"toàn đồ rách, quá thất vọng",1,1,1,1
sản phẩm rất giống sản phẩm chợ nhưng giá thì mắc. chất liệu vải khá là dỡ. đường chỉ thì tè le. áo may không đồng điều. trong các siêu thị vẫn có chất lượng tốt hơn nhiều và giá giá giá rẻ hơn ít nhất là 20k cho một cặp 10k cho một cái và vẫn là sản phẩm sản xuất tại việt nam.,1,1,1,1
dùng thời gian sẽ hỏng màu ngả màu nên chọn màu tối,1,1,1,1
"chất liệu ít cotton hơn so với ghi trên áo, mặc cảm thấy nóng hơn so với loại có cùng hàm lượng cotton mua trong siêu thị !",0,0,0,0
"chất vải tốt, mịn, mặc ấm nhưng áo rất nhỏ. mình m67, nặng 57kg, mặc size mình bị chật lỗ vai, áo dài quá thắt lưng khoảng 5cm. size mình chỉ vừa với đội dưới 1m55, 50kg",0,0,0,0
mặc dù đặt xxl nhưng vẫn không vừa. áo rất chậc. mình 1m74 74kg. không sử dụng được. tôi muốn trả lại sản phẩm. nhãn mác nhưng nguyên.,0,0,0,0
"áo size bé chiều ngang so với mô tả. mình 1m70, nặng 73kg nhưng mặc vô chật, hơi khó chịu. nhưng nâng size thì lại dài thấy ghê nên thôi ráng nông ra.",0,0,0,0
áo size không đều. cỡ to nhất nhưng 1 cái vừa 1 cái chật nách,0,0,0,0
"áo rất dày và bí, đợi mùa đông mua mặc thì nhưng được",1,1,1,1
mình chưa nhận được sản phẩm nhưng đã báo là nhận được trên hệ thống rồi,1,1,1,1
"sản phẩm bình thường, nóng, không trơn",1,1,1,1
"kg hài lòng.mua 2ao size xl nhưng 1c chật và 1c kg mặc vô được,tiki vui lòng nhận lại",1,1,1,1
chất lượng tốt chấp nhận được tốt,0,0,0,0
"2 cái thì cái màu đen tốt, cái màu ghi giặt xong co ngắn lại không sử dụng được.",0,0,0,0
chun quần cứng như dây rừng,0,0,0,0
cảm thấy không bền lắm. mới dùng 1 thời gian nhưng thấy đau bắp hay do cỡ nhỏ nhỉ. nói chung hơi bực. cọ háng,0,0,0,0
"không hiểu sao trong 4 cái quần thì cái quần màu xám trắng cùng size xl nhưng thực tế thì mình mang lại nhỏ hơn 3 cái nhưng lại và không có độ co dãn như 3 màu nhưng lại. thực tế là bị chật so với size và mình mang không vừa, 3 cái nhưng lại cùng size xl và độ co dãn cũng tốt hơn. hy vọng cửa sản phẩm xem lại vấn đề này!",1,1,1,1
chất lượng kém so với giá,1,1,1,1
"size quần quá bé. mô tả sản phẩm sai. ck mình 67kg cao 1,7m nhưng không thể mặc được size xl. đã mô tả sai nhưng không cho đổi trả. mua sản phẩm tiki nhiều lần rồi nhưng lần này thất vọng quá. theo ảnh phía dưới là quần đang mặc, phía trên là quần của cửa sản phẩm. chưa mặc thử chỉ mới so thôi nhưng không đổi trả được.",1,1,1,1
"mọi thứ đều tốt, giao sản phẩm nhanh, đóng gói tốt, nhưng ống quần không có dài như hình đại diện đâu ạ. chót mua thì mặc thôi ạ",0,0,0,0
"cửa sản phẩm giao nhanh tuy nhiên mua size mình cho cháu nhưng có đến 2 cái đo bằng size l lúc trước mua chưa dùng,hic !",0,0,0,0
sản phẩm kém cho lắm,0,0,0,0
"cảm ơn tiki đã giao sản phẩm rất nhanh về chất lượng sản phẩm thì quần khá là bí, chịu không nổi, chắc phải vứt đi thôi, hoặc ai thích mình tặng lại cho",1,1,1,1
"mình mua size lớn nhất nhưng mặc không vừa, bình thường nếu mua amazon hoặc có thương hiệu của vietnam thì vừa, nhưng sản phẩm này thiếu size. mọi người size lớn 75kg như mình mua coi chừng mặc không vừa",0,0,0,0
"cửa sản phẩm làm ăn không uy tín,combo hộp nhưng cứ giao kiểu gì không biết,",1,1,1,1
quần co dãn kém.chất liệu vải không xịn.,1,1,1,1
"quần vải linon, vợ mua về, mình bảo vợ mua phải quần đểu rồi vợ bực quá vứt thùng rác luôn. quần lót gì xối nước vào trôi như tàu lá chuối, chả thấm hút tí nào. không mặc được.",1,1,1,1
phần lưng vừa vặn nhưng phần đáy không ôm làm con kiu nó nhổng lên.,1,1,1,1
mặc vào rách mẹ rồi vải gì nhưng tào lao,1,1,1,1
sản phẩm giống hình nhưng chất lượng vải hơi mỏng xù tệ .,0,0,0,0
cửa sản phẩm giao không đúng màu mình chọn,1,1,1,1
"có cái chất thun tốt có cái thì giãn quá, nói chung tiền nào của nấy",0,0,0,0
chất vải vớ vẩn. không giống trong hình,1,1,1,1
"quần cũ, để lâu ố vàng luôn, quá thất vọng!",1,1,1,1
"sản phẩm dùng được, ở ngoài không “lung linh” như trong hình mẫu, các hoạ tiết in có cảm giác nhăn nhăn như sắp rơi ra.",0,0,0,0
"vải mỏng, hướng dẫn chọn size chưa chuẩn. giao sản phẩm rất lâu.",0,0,0,0
sản phẩm mỏng nhẹ được đóng gói can thận,0,0,0,0
"gửi áo sai cỡ , có đổi được không bạn ơi",0,0,0,0
sản phẩm mã chất lượng quá tồi,1,1,1,1
sản phẩm chất lượng thấp lắm không ưng,1,1,1,1
tiki giao sản phẩm ao rach hang lung mot lo to. hang lai xau. giao ao rach. minh khong muon doi lai . de lam ky niem. mot cong ty kinh danh ma ban hang mat uy tin,1,1,1,1
bình thường kg có gì đẹp. kg hài lòng,1,1,1,1
"mua về bận được 3 lần đã bị bung chỉ ở nách một đường dài ,cảm thấy thật là khó chịu và bực bội",1,1,1,1
áo tạm ổn tốt. thực ra không mượt như trong hình.,1,1,1,1
"đảo, không đúng hình sản phẩm",1,1,1,1
"sản phẩm thun ít co giãn, mặc không thoải mái với xxl. không có túi zip như quảng cáo. hay mình 79kg size xxxl mới vừa!",1,1,1,1
"giao đôi bao tay , đảo",1,1,1,1
"sản phẩm không tôt, không giống hình",1,1,1,1
sản phẩm không giống mô tả. quần su đúc sao lại thiết kế kiểu vải lưới? không giống ảnh mô tả,1,1,1,1
sử dụng 1 lần và giặt dùng lại lần thứ 2 thì dây chun đã bị đứt ! hy vọng cửa sản phẩm đảm bảo đươc nguồn sản phẩm và chất lượng.,1,1,1,1
"không hài lòng vs chất liệu nylon. nhưng đóng gói đẹp, cẩn thận nên mình đánh giá 3",0,0,0,0
"quá tệ may xấu . túi đắp vải khác màu ,khog vắt biên kém thẩm mỹ. sản phẩm sale chợ chứ cửa sản phẩm nổi gì. nv giao chất lượng kém ton trọng.không sản phẩm",1,1,1,1
tại sao mình đặt 1 đôi quần nhưng lại gưi 1 chiếc vậy,1,1,1,1
"đánh giá không tính điểm tạm ổn tốt tốt, lấy size 6xl thì tốt hơn",0,0,0,0
"mua 2 sản phẩm cùng size, khác màu. nhận sản phẩm bốc ra 1 cái để thử, thấy tốt vì nhãn ghi size như vậy. zè đâu cùng size nhưng cái to cái nhỏ. sản phẩm áo khoác nếu ai có số đo, cân nặng 3xl thì lấy thêm 1 số nữa nhá.",1,1,1,1
giao không đúng màu . tôi chọn xanh đe nhưng giaomg đen,1,1,1,1
"xin phép chưa thể đánh giá sản phẩm vì mình chưa nhận được sản phẩm. đơn sản phẩm mình thanh toán trước. mình có lỡ hẹn vs shipper 2 lần vì mình về quê và lần 2 là vì mình chạy xe ngoài đường bị nhỡ, mình có gọi lại thì không gặp được shipper. 2-3 bữa nay mình lại tiếp tục liên hệ lại shipper thì không bắt máy. mong tiki và cửa sản phẩm hỗ trợ liên hệ shipper để giao sản phẩm cho mình nha. đơn sản phẩm được đánh dấu giao thành công trên hệ thống nhưng mình chưa nhận được. cảm ơn!",1,1,1,1
"vải chất lượng tương đối mát cho mùa hè, tuy nhiên khóa quần 2 bên chất lượng rất tệ, dùng được 1 lần kéo ra kéo vào là bị hỏng luôn. nếu không cần khóa thì mua cũng được, nếu cần túi kéo khóa đựng đồ thì không nên mua.",0,0,0,0
"chất liệu vải thì đủ tốt với mùa hè, nhưng chất lượng khóa rất kém. mới dùng 1,2 lần đã hỏng khóa rồi, cả 2 bên khóa đều hỏng. nếu xác định sử dụng quần không cần khóa thì okay. nếu muốn có khóa thì nên mua quần khác.",0,0,0,0
đặt trắng giao xanh… cửa sản phẩm sau cẩn thận về mặt xác nhận đơn sản phẩm để gói sản phẩm cho khách,0,0,0,0
"nhìn ở ngoài 59k nhưng vào sản phẩm giá mắc hơn nhiều. quần chất vải thô ráp mặc nóng, chỉ thưa nhiều, dây kéo dỏm. không xứng đáng 1 sao",1,1,1,1
"túi quá tệ, bỏ điện thoại vào 2 túi thì rớt cả 2. may là không vỡ màn đấy nhé",1,1,1,1
"không hài lòng, quần giao không giống hình, đường chỉ may và gấu quần không may lại như vậy dễ tuân hết chỉ",1,1,1,1
hoàn toàn sai màu so với màu trên hình được chọn,1,1,1,1
nhanh giơ quá nhen người bán sản phẩm,0,0,0,0
"quần may ẩu tả, chỉ bung hết phần đáy, quần ra màu quá nhiều, dây kéo vừa kéo đã hỏng.",1,1,1,1
"túi quần quá nhỏ bỏ không vừa điện thoại iphone, vải khô cứng mặc nóng, co giãn có 2 chiều nhưng bảo 4 chiều, lần đầu mua kiểu chấp nhận may rủi thôi,",1,1,1,1
làm ăn . mua 3 quần nhưng giao chỉ có 2 nhưng lại là 3 cái khẩu trang,1,1,1,1
"tạm ổn tốt tốt, với giá này nhưng mắc hơn quần trắng",0,0,0,0
túi hơi xấu.chất vải quần tạm ổn tốt tốt so với giá!,0,0,0,0
sản phẩm tạm ổn tốt được nhưng chỉ may không chắc,0,0,0,0
sản phẩm cũng khá được tạm ổn tốt tốt,0,0,0,0
"túi quần cạn không để được đt , dây kéo rất dễ hỏng",1,1,1,1
sai màu. đặt màu đen giao màu xanh túi quần nhỏ,0,0,0,0
"sản phẩm lỗi không chịu đỗi, mặc dù đã nhắn tin.",1,1,1,1
không như tưởng tượng.1m7 70kg mặt vào bó như quần bơi.,1,1,1,1
"kích thước chưa an tâm, sản phẩm đẹp.",0,0,0,0
khá hài lòng,0,0,0,0
chọn màu đen. gửi màu xanh. xấu. không đúng size,1,1,1,1
không nên mua vải xấu 2 thân không đồng màu,1,1,1,1
gửi sai đồ. đặt cái này nhưng giao cái khác,1,1,1,1
áo dày size nhỏ hơn không chuẩn.,1,1,1,1
chất liệu rất mỏng và dễ nhăn.,0,0,0,0
hơi thất vọng vì không đúng như giới thiệu hơi mỏng,0,0,0,0
giá 100k /ao roi ma hang khong chat luong.,1,1,1,1
"chất lượng bình thường, vải quá mỏng",0,0,0,0
chất lượng tốt.đáng tin cậy,1,1,1,1
chất vải tạm ổn tốt được quần size không đồng đều mua 2 quần cùng size xl một cái tạm ổn tốt được một cái nhỏ tí chỉ vừa với lứa tuổi học sinh thật sự không hài lòng chút nào,0,0,0,0
